customerid,historical_recency,historical_orders,historical_items,historical_revenue,historical_aov,historical_lifetime_days,churn_probability,risk_level,retention_opportunity_score,retention_priority,future_churn
12394,146,1,182,381.08,381.08,0,0.7149047560740552,Critical Risk,272.43590444470095,Standard Retention,0
12395,41,8,1629,1899.57,237.44625,258,0.19873524992661273,Low Risk,377.51151870309576,Monitor,0
12397,64,1,704,1214.81,1214.81,0,0.6666323270413659,Critical Risk,809.8316172131216,Standard Retention,0
12399,48,4,1178,1108.65,277.1625,142,0.4246844986977499,High Risk,470.82646948126046,Standard Retention,1
12401,232,1,11,84.3,84.3,0,0.7684442269089603,Critical Risk,64.77984832842535,Standard Retention,1
12402,252,1,94,225.60000000000002,225.60000000000002,0,0.782494416698622,Critical Risk,176.53074040720912,Standard Retention,1
12405,77,1,857,1710.39,1710.39,0,0.6845557487632761,Critical Risk,1170.8573071272199,Standard Retention,1
12406,112,1,793,1621.25,1621.25,0,0.7091217097155984,Critical Risk,1149.663571876414,Standard Retention,0
12407,63,4,1237,1407.36,351.84,130,0.4403096961729743,High Risk,619.674254005997,Standard Retention,0
12408,27,4,1044,2134.05,533.5125,161,0.3977465101664525,Moderate Risk,848.810940020718,Monitor,0
12409,7,3,5551,11072.67,3690.89,103,0.4527375473760047,High Risk,5013.013458703866,High Value - High Risk,1
12410,237,2,211,693.33,346.665,0,0.7311097659144559,Critical Risk,506.90033400146973,Standard Retention,1
12412,3,3,829,1226.88,408.96000000000004,94,0.45708538403835036,High Risk,560.7889159689713,Standard Retention,1
12413,165,2,205,563.9,281.95,100,0.6508055349361117,Critical Risk,366.9892411504734,Standard Retention,0
12414,146,3,300,562.4100000000001,187.47000000000003,93,0.5822835300096489,High Risk,327.4820801127267,Standard Retention,1
12415,28,15,66701,102087.88,6805.858666666667,238,0.0021141919018254026,Low Risk,215.8333691705235,High Value - Low Risk,0
12417,35,7,1229,2816.52,402.36,250,0.23066713683658735,Low Risk,649.678604242985,Monitor,0
12418,41,1,407,668.58,668.58,0,0.6391987407808402,Critical Risk,427.35549411125413,Standard Retention,1
12421,43,3,407,628.5600000000001,209.52,204,0.4586371786142054,High Risk,288.280984989745,Standard Retention,0
12422,24,3,370,803.5600000000001,267.85333333333335,229,0.4343579787220785,High Risk,349.0326973819134,Standard Retention,1
12423,29,7,1136,1650.67,235.81,252,0.2317051816371688,Low Risk,382.46879217302546,Monitor,1
12424,91,2,740,1760.96,880.48,0,0.6237098324749881,Critical Risk,1098.3280665951552,Standard Retention,1
12425,7,1,496,777.2,777.2,0,0.6131467199271143,Critical Risk,476.5376307273533,Standard Retention,1
12426,123,1,258,582.73,582.73,0,0.7012521215130537,Critical Risk,408.64064876930183,Standard Retention,1
12427,300,1,79,303.5,303.5,0,0.8106801764437708,Critical Risk,246.04143355068442,Standard Retention,0
12428,49,8,3386,7548.12,943.515,163,0.19807882130145704,Low Risk,1495.122712641954,High Value - Low Risk,0
12429,101,3,1045,2844.88,948.2933333333334,193,0.5113042630933563,High Risk,1454.5992719890276,Standard Retention,1
12431,48,11,2098,4807.07,437.00636363636363,254,0.10645597429498949,Low Risk,511.7413203542151,Monitor,0
12432,99,3,1427,4016.66,1338.8866666666665,1,0.5672778190183781,High Risk,2278.5621245383586,Standard Retention,0
12433,20,3,5431,6395.2300000000005,2131.7433333333333,282,0.41437510726374005,High Risk,2650.0241172262886,High Value - High Risk,0
12434,13,2,394,806.14,403.07,175,0.5002083094784863,High Risk,403.23792660298693,Standard Retention,1
12435,8,2,2055,7829.89,3914.945,188,0.5197406664979987,High Risk,4069.5122472060148,High Value - High Risk,1
12436,28,1,211,509.01,509.01,0,0.6257509285887005,Critical Risk,318.5134801609344,Standard Retention,1
12437,7,12,1970,3034.0099999999998,252.83416666666665,253,0.08019589951024676,Low Risk,243.31516107308377,Monitor,0
12438,69,1,586,890.0699999999999,890.0699999999999,0,0.665259910876564,Critical Risk,592.1278888739033,Standard Retention,0
12441,295,1,121,173.55,173.55,0,0.80654370658695,Critical Risk,139.97566027816518,Standard Retention,1
12444,14,3,828,3189.81,1063.27,85,0.4675378941503077,High Risk,1491.357050139593,Standard Retention,0
12447,172,1,190,476.49,476.49,0,0.7344946101917501,Critical Risk,349.979336810267,Standard Retention,1
12449,20,3,1029,2724.58,908.1933333333333,95,0.4703702395430825,High Risk,1281.5613472542916,Standard Retention,0
12450,85,2,128,197.88,98.94,17,0.6076888084506912,Critical Risk,120.24946141622277,Standard Retention,1
12451,147,2,4105,5307.82,2653.91,106,0.6542736903461934,Critical Risk,3472.7669790933323,High Value - High Risk,0
12453,63,1,473,707.09,707.09,0,0.6575045691203814,Critical Risk,464.91490577933047,Standard Retention,1
12455,2,6,2089,2466.86,411.1433333333334,223,0.2598856719911704,Low Risk,641.1015688081387,Monitor,1
12456,60,2,1073,2265.4,1132.7,123,0.5632235819827689,High Risk,1275.9267026237646,Standard Retention,0
12457,10,6,810,2166.88,361.1466666666667,157,0.2818264630117945,Low Risk,610.6841261709973,Monitor,0
12458,0,2,506,947.4,473.7,213,0.47777889564106185,High Risk,452.64772573034196,Standard Retention,1
12461,23,2,287,826.88,413.44,60,0.5441439174605065,High Risk,449.94172246974364,Standard Retention,1
12462,232,1,287,762.11,762.11,0,0.7771617222171613,Critical Risk,592.2827201189208,Standard Retention,0
12463,104,3,577,985.7900000000001,328.5966666666667,66,0.5540701385890674,High Risk,546.1968019197168,Standard Retention,0
12464,35,6,81,780.55,130.09166666666667,203,0.2941752520784924,Low Risk,229.61849300986722,Monitor,0
12465,98,1,294,440.94,440.94,0,0.6803538635396108,Critical Risk,299.995232589156,Standard Retention,0
12468,116,2,366,729.54,364.77,128,0.6032795975129962,Critical Risk,440.1165975696312,Standard Retention,1
12471,7,21,4708,11744.76,559.2742857142857,286,0.008194287217861465,Low Risk,96.23993674485062,High Value - Low Risk,0
12472,67,5,3088,4927.6,985.5200000000001,230,0.345581224407811,Moderate Risk,1702.8860413919297,Monitor,0
12473,43,2,853,1175.75,587.875,77,0.5581866408883747,High Risk,656.2879430245065,Standard Retention,0
12474,27,13,2798,4362.06,335.54307692307697,231,0.06867227074439797,Low Risk,299.5525653233086,Monitor,0
12476,13,7,1317,3725.27,532.1814285714286,276,0.20807033579642875,Low Risk,775.1181798323621,Monitor,0
12477,29,3,2518,8834.03,2944.6766666666667,200,0.44174173675127515,High Risk,3902.3597547128675,High Value - High Risk,0
12480,72,3,1096,2144.95,714.9833333333332,192,0.48687310681654705,High Risk,1044.3184704661526,Standard Retention,0
12481,108,8,2351,4085.26,510.6575,186,0.24455284553540252,Low Risk,999.0619577519585,Monitor,0
12483,27,6,792,1624.06,270.6766666666667,240,0.2758249039219702,Low Risk,447.95619346351486,Monitor,0
12484,29,4,1857,3658.65,914.6625,235,0.37379879972008684,Moderate Risk,1367.5989785958957,Monitor,0
12488,4,1,169,553.39,553.39,0,0.6065264436048455,Critical Risk,335.6456686264855,Standard Retention,0
12489,265,1,105,334.93,334.93,0,0.7914717063568418,Critical Risk,265.087618610097,Standard Retention,1
12490,22,6,2010,3552.59,592.0983333333334,236,0.2655535076548483,Low Risk,943.4027357595376,Monitor,0
12492,34,1,69,126.39000000000001,126.39000000000001,0,0.6241341996470351,Critical Risk,78.88432149338877,Standard Retention,0
12493,94,2,207,433.74,216.87,31,0.6120366843605846,Critical Risk,265.46479147455995,Standard Retention,1
12494,90,5,364,868.86,173.772,204,0.3872525316334951,Moderate Risk,336.46823463507855,Monitor,0
12497,10,1,1236,1043.1,1043.1,0,0.6208028434902659,Critical Risk,647.5594460446963,Standard Retention,1
12500,35,6,1270,1773.84,295.64,227,0.2843842969423555,Low Risk,504.45224128822787,Monitor,0
12501,265,1,1783,2169.39,2169.39,0,0.8133178135171587,Critical Risk,1764.4035314659889,Standard Retention,1
12502,24,5,820,3723.87,744.774,214,0.31960074322404763,Moderate Risk,1190.1516196697341,Monitor,1
12506,161,1,23,73.5,73.5,0,0.7209878739708214,Critical Risk,52.992608736855374,Standard Retention,1
12507,63,3,894,1304.81,434.93666666666667,164,0.488186920063562,High Risk,636.9911751681364,Standard Retention,1
12509,213,1,55,176.5,176.5,0,0.7576009573328479,Critical Risk,133.71656896924767,Standard Retention,1
12510,71,2,353,982.5699999999999,491.28499999999997,182,0.5494655661936175,High Risk,539.8883813748628,Standard Retention,1
12513,41,1,462,612.29,612.29,0,0.6383149266384074,Critical Risk,390.83384643143046,Standard Retention,1
12514,196,1,440,1017.6800000000001,1017.6800000000001,0,0.7579782190806015,Critical Risk,771.3792739939465,Standard Retention,1
12515,282,1,131,383.7,383.7,0,0.8017301265147602,Critical Risk,307.62384954371345,Standard Retention,1
12516,6,2,875,1312.06,656.03,102,0.5188042123459251,High Risk,680.7022548505945,Standard Retention,1
12517,2,3,1044,1938.65,646.2166666666667,116,0.44903740256259767,High Risk,870.52636047798,Standard Retention,0
12518,6,2,482,849.73,424.865,33,0.5378098156747741,High Risk,456.99313467332587,Standard Retention,0
12520,8,5,1439,2634.26,526.8520000000001,194,0.317730568608868,Moderate Risk,836.9849276635967,Monitor,1
12521,71,1,309,599.68,599.68,0,0.6619461435072753,Critical Risk,396.95586333844284,Standard Retention,1
12523,8,8,623,1142.13,142.76625,252,0.18456248697777905,Low Risk,210.7943532519308,Monitor,0
12524,91,6,2290,3122.48,520.4133333333333,171,0.33531771790304515,Moderate Risk,1047.0228677979005,Monitor,0
12526,23,1,318,520.3,520.3,0,0.6219131800012322,Critical Risk,323.5814275546411,Standard Retention,0
12527,10,3,234,348.71000000000004,116.23666666666668,243,0.418433727973697,High Risk,145.91202528170788,Standard Retention,1
12528,43,4,503,1287.37,321.8425,198,0.40256106704727307,High Risk,518.2450408846479,Standard Retention,0
12530,52,3,600,1221.65,407.2166666666667,213,0.46335611378353914,High Risk,566.0589964036607,Standard Retention,0
12534,59,1,651,1089.18,1089.18,0,0.6606551993345362,Critical Risk,719.5724300111901,Standard Retention,1
12535,20,2,219,716.35,358.175,94,0.5306730637693935,High Risk,380.14764923120504,Standard Retention,1
12539,191,3,1621,4517.69,1505.8966666666665,71,0.6240657446706213,Critical Risk,2819.335574041019,Standard Retention,0
12540,6,13,5095,10495.99,807.3838461538461,284,0.050224434183211784,Low Risk,527.155158942649,High Value - Low Risk,0
12541,102,2,419,536.14,268.07,107,0.5970131219508873,High Risk,320.0826152027487,Standard Retention,0
12545,4,2,523,1000.39,500.195,184,0.4903929822832817,High Risk,490.58423554637216,Standard Retention,1
12546,6,1,475,760.2,760.2,0,0.6120047540052201,Critical Risk,465.24601399476836,Standard Retention,0
12547,126,2,134,207.8,103.9,82,0.6229389377187642,Critical Risk,129.4467112579592,Standard Retention,1
12548,95,1,49,95.19999999999999,95.19999999999999,0,0.6724170932243452,Critical Risk,64.01410727495765,Standard Retention,1
12550,8,1,569,964.83,964.83,0,0.6172293567666615,Critical Risk,595.521400289178,Standard Retention,1
12551,286,1,100,168.0,168.0,0,0.8014861477532462,Critical Risk,134.64967282254537,Standard Retention,1
12553,39,7,1351,2419.59,345.6557142857143,219,0.2419786018112377,Low Risk,585.4890051564527,Monitor,0
12556,80,1,163,308.75,308.75,0,0.664225716653155,Critical Risk,205.0796900166616,Standard Retention,0
12557,87,4,3464,9000.960000000001,2250.2400000000002,213,0.4132827904261063,High Risk,3719.941865313766,High Value - High Risk,0
12559,239,2,283,561.71,280.855,8,0.7302246265847651,Critical Risk,410.1744749989284,Standard Retention,1
12560,41,2,820,1436.31,718.155,30,0.5715696611866606,High Risk,820.9512200590125,Standard Retention,1
12561,231,1,177,238.85,238.85,0,0.769899531501171,Critical Risk,183.89050309905468,Standard Retention,1
12562,10,4,1007,1993.8700000000001,498.46750000000003,116,0.39708569718941106,Moderate Risk,791.737259055051,Monitor,0
12564,190,1,133,456.90000000000003,456.90000000000003,0,0.7463366542302591,Critical Risk,341.0012173178054,Standard Retention,1
12565,217,1,80,145.92000000000002,145.92000000000002,0,0.7597895145073037,Critical Risk,110.86848595690577,Standard Retention,1
12566,15,1,265,351.65,351.65,0,0.6123672003333486,Critical Risk,215.33892599722202,Standard Retention,1
12567,25,9,3533,7849.9800000000005,872.22,273,0.13472870450759425,Low Risk,1057.6176358105247,High Value - Low Risk,0
12569,21,15,857,2167.6800000000003,144.51200000000003,160,0.051047492788045136,Low Risk,110.65462916678969,Monitor,0
12571,50,1,197,248.35,248.35,0,0.6393576020682771,Critical Risk,158.7844604736566,Standard Retention,0
12573,156,1,84,160.54000000000002,160.54000000000002,0,0.7187506275656629,Critical Risk,115.38822574939154,Standard Retention,1
12574,244,1,61,218.45000000000002,218.45000000000002,0,0.7775625300086887,Critical Risk,169.85853468039807,Standard Retention,1
12576,24,4,665,936.5500000000001,234.13750000000002,208,0.38496115896709354,Moderate Risk,360.53537343063147,Monitor,0
12577,288,1,134,195.89,195.89,0,0.8029387792130392,Critical Risk,157.28767746004226,Standard Retention,0
12578,259,1,748,1608.66,1608.66,0,0.8032161823368343,Critical Risk,1292.101743877972,Standard Retention,0
12579,7,1,285,440.42,440.42,0,0.6072121946928914,Critical Risk,267.42839478664325,Standard Retention,1
12580,175,1,238,415.7,415.7,0,0.7357331945972099,Critical Risk,305.84428899406015,Standard Retention,1
12582,167,2,300,511.36,255.68,49,0.6663626920495465,Critical Risk,340.75122620645607,Standard Retention,1
12583,8,10,3740,4773.01,477.30100000000004,294,0.11076448613573969,Low Risk,528.679999970747,Monitor,0
12584,9,5,186,1062.39,212.478,199,0.3226383027767454,Moderate Risk,342.7677064869865,Monitor,0
12585,163,2,1279,2040.1,1020.05,117,0.6504216186667885,Critical Risk,1326.925144242115,Standard Retention,1
12589,73,1,83,131.5,131.5,0,0.6557868447952339,Critical Risk,86.23597009057325,Standard Retention,0
12590,140,2,4283,9864.26,4932.13,0,0.6926354288938721,Critical Risk,6832.335955820667,High Value - High Risk,1
12591,246,1,228,452.84999999999997,452.84999999999997,0,0.7817657204729975,Critical Risk,354.0226065161969,Standard Retention,1
12592,21,2,290,437.6,218.8,121,0.5223103175724895,High Risk,228.56299496972142,Standard Retention,1
12593,37,3,206,418.1,139.36666666666667,110,0.48214146416366405,High Risk,201.58334616682794,Standard Retention,1
12594,50,8,1440,2529.9,316.2375,201,0.21237129676797523,Low Risk,537.2781436933005,Monitor,0
12596,171,1,156,269.95,269.95,0,0.7308800408985197,Critical Risk,197.30106704055538,Standard Retention,0
12597,112,2,675,1428.81,714.405,85,0.6152745069364783,Critical Risk,879.1103682559096,Standard Retention,0
12598,0,5,1259,1946.14,389.228,213,0.30933222241342706,Moderate Risk,602.003811327667,Monitor,0
12599,55,6,749,857.04,142.84,177,0.3159954329664888,Moderate Risk,270.8207258695995,Monitor,0
12600,13,9,613,2219.46,246.60666666666668,287,0.14600485701804553,Low Risk,324.0519399572713,Monitor,0
12601,118,5,245,577.0600000000001,115.412,142,0.4306263604332503,High Risk,248.49724755161145,Standard Retention,1
12604,8,2,201,254.18,127.09,182,0.49141611755929454,High Risk,124.90814876122148,Standard Retention,1
12609,7,3,648,1126.85,375.6166666666666,240,0.4164086730317422,High Risk,469.23011320581867,Standard Retention,1
12610,35,2,625,1256.25,628.125,19,0.5688701390891577,High Risk,714.6431122307544,Standard Retention,0
12612,3,1,262,704.04,704.04,0,0.608348762046543,Critical Risk,428.3018624312481,Standard Retention,1
12613,126,4,759,1462.52,365.63,64,0.5149745941957209,High Risk,753.1606435031257,Standard Retention,0
12614,206,1,76,315.6,315.6,0,0.7549212260679184,Critical Risk,238.25313894703507,Standard Retention,1
12615,0,2,751,1211.39,605.695,96,0.514885275425054,High Risk,623.7268737971563,Standard Retention,0
12616,24,2,284,713.3,356.65,202,0.5011325993432781,High Risk,357.45788311156025,Standard Retention,1
12619,6,7,2395,2760.38,394.34000000000003,175,0.2299573189575086,Low Risk,634.7695841039276,Monitor,0
12620,9,2,740,939.32,469.66,123,0.5134745729699333,High Risk,482.3169358821177,Standard Retention,0
12621,10,17,5849,11260.64,662.3905882352941,284,0.020652735419168677,Low Risk,232.56301857050755,High Value - Low Risk,0
12622,161,1,69,180.1,180.1,0,0.7225580688961722,Critical Risk,130.13270820820063,Standard Retention,1
12623,205,1,191,305.1,305.1,0,0.7542112943445455,Critical Risk,230.10986590452083,Standard Retention,1
12624,35,2,355,641.13,320.565,71,0.5506166615819982,High Risk,353.0168602400665,Standard Retention,1
12625,140,2,1612,2683.82,1341.91,107,0.6372105261788383,Critical Risk,1710.15835436929,Standard Retention,1
12626,41,6,2337,4774.0,795.6666666666666,214,0.27885383594094704,Low Risk,1331.248212782081,Monitor,0
12627,25,5,1575,2727.83,545.566,44,0.37246947727536983,Moderate Risk,1016.033414196072,Monitor,0
12633,58,3,1068,1948.75,649.5833333333334,158,0.48517577247401605,High Risk,945.4862866087387,Standard Retention,0
12635,18,2,1172,1689.18,844.59,65,0.5423010997404455,High Risk,916.0441716595658,Standard Retention,1
12637,20,7,2842,5658.9,808.4142857142857,232,0.21390391436992856,Low Risk,1210.4608610279886,High Value - Low Risk,0
12639,167,1,201,486.1,486.1,0,0.731198398309446,Critical Risk,355.4355414182217,Standard Retention,1
12640,10,1,246,764.59,764.59,0,0.6152069328692709,Critical Risk,470.3810688025158,Standard Retention,0
12641,44,1,72,185.9,185.9,0,0.6333340436773812,Critical Risk,117.73679871962517,Standard Retention,1
12642,36,1,277,366.45,366.45,0,0.6299871096834758,Critical Risk,230.8587763435097,Standard Retention,0
12643,57,6,1808,3344.64,557.4399999999999,204,0.2992078809718986,Low Risk,1000.7426470138508,Monitor,1
12644,58,1,325,477.90999999999997,477.90999999999997,0,0.6496796273606963,Critical Risk,310.48839071195033,Standard Retention,1
12645,38,3,825,1310.8600000000001,436.9533333333334,206,0.45340217515603926,High Risk,594.3467753250457,Standard Retention,0
12647,7,11,1299,3401.67,309.2427272727273,291,0.09314504912438604,Low Risk,316.84871925495025,Monitor,0
12648,83,1,160,318.05,318.05,0,0.6667181308313332,Critical Risk,212.04970151090555,Standard Retention,1
12649,36,3,586,623.51,207.83666666666667,105,0.48295437113989653,High Risk,301.1268799494369,Standard Retention,1
12651,263,1,78,114.0,114.0,0,0.7876544968677007,Critical Risk,89.79261264291789,Standard Retention,1
12652,260,1,505,919.98,919.98,0,0.7957143845810942,Critical Risk,732.0413195269151,Standard Retention,1
12653,77,2,919,2209.85,1104.925,147,0.5703083452385139,High Risk,1260.2958967253298,Standard Retention,1
12654,126,3,151,337.75,112.58333333333333,97,0.5639700363110699,High Risk,190.48087976406387,Standard Retention,0
12656,1,4,1548,3465.42,866.355,161,0.3723659837273656,Moderate Risk,1290.4045273284873,Monitor,0
12657,7,1,259,618.44,618.44,0,0.6102300316300718,Critical Risk,377.39066076130166,Standard Retention,0
12662,36,7,1400,2653.66,379.0942857142857,266,0.22866266116917036,Low Risk,606.7929574381806,Monitor,0
12664,16,4,578,2277.08,569.27,235,0.3663265686591803,Moderate Risk,834.1549029624463,Monitor,0
12665,253,1,37,63.0,63.0,0,0.7810675842889656,Critical Risk,49.20725781020484,Standard Retention,1
12668,188,3,1334,2924.4700000000003,974.8233333333334,96,0.6155576124731476,Critical Risk,1800.179770949346,Standard Retention,0
12669,79,3,1115,2744.0299999999997,914.6766666666666,105,0.5191419529070411,High Risk,1424.5410930355079,Standard Retention,1
12670,27,3,761,1634.47,544.8233333333334,133,0.46568525891681806,High Risk,761.1485851417716,Standard Retention,0
12672,258,1,78,225.9,225.9,0,0.786054340493158,Critical Risk,177.5696755174044,Standard Retention,1
12673,255,1,171,220.9,220.9,0,0.7842750063509695,Critical Risk,173.24634890292916,Standard Retention,1
12674,20,3,787,1402.0,467.3333333333333,116,0.4650076115418784,High Risk,651.9406713817135,Standard Retention,0
12676,52,4,494,998.05,249.5125,187,0.41438781765178573,High Risk,413.57976140736474,Standard Retention,0
12678,7,10,5682,8680.5,868.05,274,0.10218029422808311,Low Risk,886.9760440468755,High Value - Low Risk,0
12679,16,3,480,1000.7,333.56666666666666,195,0.43762217275939375,High Risk,437.92850828032533,Standard Retention,0
12680,2,3,338,613.36,204.45333333333335,39,0.4731397618942608,High Risk,290.2050043554638,Standard Retention,1
12681,6,16,5898,10657.12,666.07,290,0.02576290313083183,Low Risk,274.55835021365056,High Value - Low Risk,0
12682,10,22,3873,8799.210000000001,399.96409090909094,289,0.007321556121620042,Low Risk,64.4239098409203,High Value - Low Risk,0
12683,21,12,3980,6622.19,551.8491666666666,272,0.07433246034685038,Low Risk,492.24367558430913,High Value - Low Risk,0
12684,99,4,1274,1379.48,344.87,42,0.4987767744070649,High Risk,688.0525847590579,Standard Retention,0
12685,4,3,1029,1829.02,609.6733333333333,18,0.48079197372634175,High Risk,879.3781357849535,Standard Retention,0
12686,300,1,107,89.14,89.14,0,0.808325537419989,Critical Risk,72.05413840561782,Standard Retention,1
12688,42,1,3028,4873.81,4873.81,0,0.70824794068731,Critical Risk,3451.865895801219,Standard Retention,1
12689,56,1,281,511.03000000000003,511.03000000000003,0,0.6485825151674813,Critical Risk,331.445122726038,Standard Retention,0
12690,134,1,106,389.01,389.01,0,0.7062930817915011,Critical Risk,274.75507174771184,Standard Retention,1
12691,74,4,198,556.3,139.075,212,0.4269104040256789,High Risk,237.49025775948516,Standard Retention,0
12693,56,4,255,855.91,213.9775,192,0.4165523368055643,High Risk,356.53131059525055,Standard Retention,1
12694,112,1,323,439.5,439.5,0,0.6909558720154798,Critical Risk,303.67510575080337,Standard Retention,0
12695,36,2,172,333.9,166.95,102,0.5407401244853315,High Risk,180.55312756565218,Standard Retention,0
12697,60,2,359,733.91,366.955,37,0.5827663052471149,High Risk,427.6980190839101,Standard Retention,0
12700,85,2,1376,2149.05,1074.525,58,0.6037873881083164,Critical Risk,1297.5692864141777,Standard Retention,0
12701,8,2,678,797.71,398.855,162,0.5000416537812183,High Risk,398.8882276378157,Standard Retention,1
12703,0,1,164,283.55,283.55,0,0.5985213766498629,High Risk,169.71073634906864,Standard Retention,1
12704,7,4,603,1346.47,336.6175,91,0.4036310757335258,High Risk,543.4771345429205,Standard Retention,0
12705,6,5,3060,5005.14,1001.028,279,0.2860669325698135,Low Risk,1431.8050468824765,High Value - Low Risk,0
12707,220,1,256,603.42,603.42,0,0.767730921667012,Critical Risk,463.2641927523083,Standard Retention,1
12708,1,8,1154,2399.14,299.8925,296,0.16841024143335961,Low Risk,404.03974663243037,Monitor,0
12709,0,12,3152,8025.62,668.8016666666666,295,0.06462430118159303,Low Risk,518.6500840490166,High Value - Low Risk,0
12710,25,3,851,1149.02,383.00666666666666,104,0.47335620359136377,High Risk,543.8957450505488,Standard Retention,1
12712,35,11,943,3913.08,355.73454545454547,264,0.10324286126153084,Low Risk,403.9975755452711,Monitor,0
12714,35,4,2258,3389.7,847.425,187,0.39392214947107423,Moderate Risk,1335.2779100621003,Monitor,1
12715,35,1,192,343.36,343.36,0,0.628706551282368,Critical Risk,215.87268144831387,Standard Retention,1
12716,62,1,503,677.9,677.9,0,0.6562662835438969,Critical Risk,444.8829136144077,Standard Retention,1
12717,80,2,506,1030.98,515.49,94,0.5840578748054758,High Risk,602.1519877669494,Standard Retention,1
12718,0,1,203,238.25,238.25,0,0.5977757002724196,High Risk,142.42006058990395,Standard Retention,1
12720,9,18,3188,3828.32,212.68444444444447,288,0.02103049897189041,Low Risk,80.5114798240675,Monitor,0
12721,8,5,1550,2041.81,408.36199999999997,275,0.299021127179265,Low Risk,610.544327685895,Monitor,0
12722,14,4,566,997.63,249.4075,65,0.4184026682105316,High Risk,417.41105388687265,Standard Retention,1
12724,10,3,370,823.17,274.39,250,0.41601999685354163,High Risk,342.45518080992986,Standard Retention,1
12725,300,1,164,427.8,427.8,0,0.8120935486434923,Critical Risk,347.413620109686,Standard Retention,1
12726,15,6,2380,1824.6399999999999,304.1066666666666,271,0.2603650814416224,Low Risk,475.07254220164185,Monitor,0
12727,24,6,1756,3337.7,556.2833333333333,224,0.2705957754295107,Low Risk,903.1675196510778,Monitor,1
12728,0,4,419,836.33,209.0825,261,0.35034791838705126,Moderate Risk,293.0064745846426,Monitor,1
12729,42,1,233,453.01,453.01,0,0.6362869990679656,Critical Risk,288.2443734477791,Standard Retention,1
