customer_id,country,total_orders,total_items,total_revenue,average_order_value,first_purchase_date,last_purchase_date,recency,frequency,churn_status
12488,France,3,529,1298.66,432.89,2011-09-25,2011-11-30,9,3,Active
12489,France,1,105,334.93,334.93,2011-01-07,2011-01-07,336,1,Churned
12490,France,10,3064,5417.93,541.79,2011-01-14,2011-12-04,5,10,Active
12491,France,1,260,460.40,460.40,2011-11-01,2011-11-01,38,1,Active
12492,Germany,2,192,263.21,131.61,2011-08-26,2011-10-07,63,2,At Risk
12493,France,2,207,433.74,216.87,2011-05-26,2011-06-27,165,2,Churned
12494,France,7,707,1246.10,178.01,2010-12-09,2011-11-24,15,7,Active
12497,Germany,1,1236,1043.10,1043.10,2011-09-19,2011-09-19,81,1,At Risk
12498,Germany,3,159,403.70,134.57,2011-10-13,2011-11-18,21,3,Active
12500,Germany,11,2678,4257.82,387.07,2011-01-10,2011-11-16,23,11,Active
12501,Germany,1,1783,2169.39,2169.39,2011-01-07,2011-01-07,336,1,Churned
12502,Spain,5,820,3723.87,744.77,2011-02-03,2011-09-05,95,5,At Risk
12504,Germany,2,90,482.05,241.03,2011-11-09,2011-11-21,18,2,Active
12506,France,1,23,73.50,73.50,2011-04-21,2011-04-21,232,1,Churned
12507,Spain,3,894,1304.81,434.94,2011-02-14,2011-07-28,134,3,Churned
12508,France,2,271,397.88,198.94,2011-11-10,2011-11-13,26,2,Active
12509,France,1,55,176.50,176.50,2011-02-28,2011-02-28,284,1,Churned
12510,Spain,2,353,982.57,491.29,2011-01-18,2011-07-20,142,2,Churned
12512,Israel,2,96,132.18,66.09,2011-10-04,2011-10-04,66,2,At Risk
12513,France,1,462,612.29,612.29,2011-08-19,2011-08-19,112,1,At Risk
12514,Italy,1,440,1017.68,1017.68,2011-03-17,2011-03-17,267,1,Churned
12515,Italy,1,131,383.70,383.70,2010-12-21,2010-12-21,353,1,Churned
12516,Germany,2,875,1312.06,656.03,2011-06-12,2011-09-23,77,2,At Risk
12517,Germany,5,1361,2481.60,496.32,2011-06-02,2011-11-11,28,5,Active
12518,Germany,5,1318,2056.89,411.38,2011-08-21,2011-12-09,0,5,Active
12519,Germany,1,175,330.84,330.84,2011-10-07,2011-10-07,63,1,At Risk
12520,Germany,5,1439,2634.26,526.85,2011-03-11,2011-09-21,79,5,At Risk
12521,Germany,1,309,599.68,599.68,2011-07-20,2011-07-20,142,1,Churned
12522,Germany,2,194,192.72,96.36,2011-10-19,2011-10-31,39,2,Active
12523,France,11,865,1789.77,162.71,2011-01-12,2011-11-20,19,11,Active
12524,Germany,8,3699,4485.72,560.72,2011-01-10,2011-11-30,9,8,Active
12526,Germany,3,632,1316.66,438.89,2011-09-06,2011-12-09,0,3,Active
12527,Germany,3,234,348.71,116.24,2011-01-18,2011-09-19,81,3,At Risk
12528,Germany,6,756,1933.48,322.25,2011-01-31,2011-11-30,9,6,Active
12530,Germany,4,913,1662.28,415.57,2011-01-07,2011-10-11,59,4,Active
12531,Germany,1,45,125.22,125.22,2011-11-25,2011-11-25,14,1,Active
12532,France,1,153,349.83,349.83,2011-11-09,2011-11-09,30,1,Active
12534,Germany,1,651,1089.18,1089.18,2011-08-01,2011-08-01,130,1,Churned
12535,France,2,219,716.35,358.18,2011-06-06,2011-09-09,91,2,At Risk
12536,France,3,2803,12601.83,4200.61,2011-10-11,2011-10-27,43,3,Active
12538,Spain,1,191,363.95,363.95,2011-11-10,2011-11-10,29,1,Active
12539,Spain,4,2067,5568.35,1392.09,2011-01-10,2011-11-17,22,4,Active
12540,Spain,17,6685,13400.24,788.25,2010-12-13,2011-11-20,19,17,Active
12541,Spain,3,680,981.18,327.06,2011-03-04,2011-11-10,29,3,Active
12544,Spain,1,136,372.70,372.70,2011-11-03,2011-11-03,36,1,Active
12545,Spain,2,523,1000.39,500.20,2011-03-25,2011-09-25,75,2,At Risk
12546,Spain,2,633,1161.50,580.75,2011-09-23,2011-10-24,46,2,Active
12547,Spain,2,134,207.80,103.90,2011-03-04,2011-05-26,197,2,Churned
12548,Spain,1,49,95.20,95.20,2011-06-26,2011-06-26,166,1,Churned
12550,Spain,1,569,964.83,964.83,2011-09-21,2011-09-21,79,1,At Risk
12551,Spain,1,100,168.00,168.00,2010-12-17,2010-12-17,357,1,Churned
12552,Italy,2,88,437.82,218.91,2011-10-31,2011-11-01,38,2,Active
12553,France,10,1965,3692.28,369.23,2011-01-14,2011-12-01,8,10,Active
12556,Spain,2,355,599.56,299.78,2011-07-11,2011-10-20,50,2,Active
12557,Spain,5,4384,11990.96,2398.19,2010-12-03,2011-11-23,16,5,Active
12558,USA,1,196,269.96,269.96,2011-12-02,2011-12-02,7,1,Active
12559,Germany,2,283,561.71,280.86,2011-01-24,2011-02-02,310,2,Churned
12560,Germany,3,1110,2134.01,711.34,2011-07-19,2011-12-04,5,3,Active
12561,Germany,1,177,238.85,238.85,2011-02-10,2011-02-10,302,1,Churned
12562,France,7,1779,3781.74,540.25,2011-05-25,2011-12-01,8,7,Active
12564,France,1,133,456.90,456.90,2011-03-23,2011-03-23,261,1,Churned
12565,Saudi Arabia,1,80,145.92,145.92,2011-02-24,2011-02-24,288,1,Churned
12566,Germany,1,265,351.65,351.65,2011-09-14,2011-09-14,86,1,At Risk
12567,France,10,4305,9401.28,940.13,2010-12-05,2011-11-17,22,10,Active
12569,Germany,32,1801,4124.69,128.90,2011-04-01,2011-12-07,2,32,Active
12571,France,2,523,519.61,259.81,2011-08-10,2011-10-31,39,2,Active
12572,Germany,2,452,1020.42,510.21,2011-10-19,2011-12-01,8,2,Active
12573,France,1,84,160.54,160.54,2011-04-26,2011-04-26,227,1,Churned
12574,France,1,61,218.45,218.45,2011-01-28,2011-01-28,315,1,Churned
12576,Poland,5,967,1315.83,263.17,2011-02-08,2011-11-04,35,5,Active
12577,France,3,469,626.60,208.87,2010-12-15,2011-11-04,35,3,Active
12578,Italy,2,1196,2794.51,1397.26,2011-01-13,2011-11-18,21,2,Active
12579,France,1,285,440.42,440.42,2011-09-22,2011-09-22,78,1,At Risk
12580,Germany,1,238,415.70,415.70,2011-04-07,2011-04-07,246,1,Churned
12581,Germany,1,161,197.71,197.71,2011-10-31,2011-10-31,39,1,Active
12582,Finland,2,300,511.36,255.68,2011-02-24,2011-04-15,238,2,Churned
12583,France,15,5060,7281.38,485.43,2010-12-01,2011-12-07,2,15,Active
12584,Italy,9,416,2338.15,259.79,2011-03-04,2011-12-06,3,9,Active
12585,Germany,2,1279,2040.10,1020.05,2010-12-23,2011-04-19,234,2,Churned
12586,Italy,1,79,196.94,196.94,2011-11-22,2011-11-22,17,1,Active
12587,Finland,1,51,144.00,144.00,2011-12-02,2011-12-02,7,1,Active
12588,Finland,1,53,214.90,214.90,2011-10-31,2011-10-31,39,1,Active
12589,France,2,306,646.68,323.34,2011-07-18,2011-11-11,28,2,Active
12590,Germany,2,4283,9864.26,4932.13,2011-05-12,2011-05-12,211,2,Churned
12591,Italy,1,228,452.85,452.85,2011-01-26,2011-01-26,317,1,Churned
12592,Germany,2,290,437.60,218.80,2011-05-10,2011-09-08,92,2,At Risk
12593,France,3,206,418.10,139.37,2011-05-05,2011-08-23,108,3,At Risk
12594,Italy,10,1777,3338.22,333.82,2011-01-21,2011-11-02,37,10,Active
12596,Spain,2,474,618.27,309.14,2011-04-11,2011-10-19,51,2,Active
12597,Spain,4,2236,3811.22,952.81,2011-03-16,2011-11-20,19,4,Active
12598,France,8,1964,3023.08,377.89,2011-02-28,2011-11-30,9,8,Active
12599,France,7,956,1032.58,147.51,2011-02-08,2011-11-10,29,7,Active
12600,Germany,10,774,2599.04,259.90,2010-12-03,2011-11-11,28,10,Active
12601,Germany,5,245,577.06,115.41,2011-01-11,2011-06-03,189,5,Churned
12602,France,1,162,153.12,153.12,2011-10-12,2011-10-12,58,1,Active
12603,Germany,1,63,739.20,739.20,2011-11-18,2011-11-18,21,1,Active
12604,France,2,201,254.18,127.09,2011-03-23,2011-09-21,79,2,At Risk
12607,USA,1,1228,1579.51,1579.51,2011-10-10,2011-10-10,60,1,Active
12609,Germany,3,648,1126.85,375.62,2011-01-25,2011-09-22,78,3,At Risk
12610,Italy,5,1049,2099.54,419.91,2011-08-05,2011-11-17,22,5,Active
12611,Italy,1,846,1193.32,1193.32,2011-10-18,2011-10-18,52,1,Active
12612,Germany,1,262,704.04,704.04,2011-09-26,2011-09-26,74,1,At Risk
12613,Germany,5,1644,3344.38,668.88,2011-03-22,2011-10-13,57,5,Active
12614,Germany,1,76,315.60,315.60,2011-03-07,2011-03-07,277,1,Churned
12615,France,4,1376,2291.19,572.80,2011-06-24,2011-12-07,2,4,Active
12616,France,2,284,713.30,356.65,2011-02-15,2011-09-05,95,2,At Risk
12617,France,1,210,352.98,352.98,2011-11-10,2011-11-10,29,1,Active
12618,Italy,1,96,177.31,177.31,2011-11-18,2011-11-18,21,1,Active
12619,Germany,9,3378,3641.24,404.58,2011-03-31,2011-11-23,16,9,Active
12620,France,3,1181,1339.41,446.47,2011-05-19,2011-11-25,14,3,Active
12621,Germany,20,7440,13689.67,684.48,2010-12-09,2011-12-08,1,20,Active
12622,Germany,1,69,180.10,180.10,2011-04-21,2011-04-21,232,1,Churned
12623,Germany,1,191,305.10,305.10,2011-03-08,2011-03-08,276,1,Churned
12624,France,2,355,641.13,320.57,2011-06-15,2011-08-25,106,2,At Risk
12625,Germany,2,1612,2683.82,1341.91,2011-01-24,2011-05-12,211,2,Churned
12626,Germany,9,3453,6620.48,735.61,2011-01-17,2011-11-16,23,9,Active
12627,Germany,7,2752,4478.53,639.79,2011-07-22,2011-11-29,10,7,Active
12628,Germany,3,448,786.46,262.15,2011-10-06,2011-12-05,4,3,Active
12630,Finland,2,548,1270.88,635.44,2011-10-27,2011-11-30,9,2,Active
12631,Finland,1,236,640.50,640.50,2011-10-13,2011-10-13,57,1,Active
12633,Germany,4,1162,2163.98,541.00,2011-02-25,2011-10-12,58,4,Active
12635,Germany,2,1172,1689.18,844.59,2011-07-08,2011-09-11,89,2,At Risk
12637,France,8,2994,6002.90,750.36,2011-01-20,2011-10-03,67,8,At Risk
12638,Sweden,1,577,671.69,671.69,2011-11-06,2011-11-06,33,1,Active
12639,Sweden,1,201,486.10,486.10,2011-04-15,2011-04-15,238,1,Churned
12640,France,3,311,1174.58,391.53,2011-09-19,2011-11-16,23,3,Active
12641,Sweden,1,72,185.90,185.90,2011-08-16,2011-08-16,115,1,At Risk
12642,Germany,3,552,1013.26,337.75,2011-08-24,2011-11-14,25,3,Active
12643,France,6,1808,3344.64,557.44,2011-01-11,2011-08-03,128,6,Churned
12644,Germany,1,325,477.91,477.91,2011-08-02,2011-08-02,129,1,Churned
12645,Germany,4,1084,1775.18,443.80,2011-01-27,2011-11-06,33,4,Active
12646,USA,2,897,1346.97,673.49,2011-10-21,2011-12-05,4,2,Active
12647,Germany,12,1431,3722.82,310.24,2010-12-05,2011-11-17,22,12,Active
12648,Germany,1,160,318.05,318.05,2011-07-08,2011-07-08,154,1,Churned
12649,Germany,3,586,623.51,207.84,2011-05-11,2011-08-24,107,3,At Risk
12650,France,1,254,314.44,314.44,2011-12-06,2011-12-06,3,1,Active
12651,France,1,78,114.00,114.00,2011-01-09,2011-01-09,334,1,Churned
12652,France,1,505,919.98,919.98,2011-01-12,2011-01-12,331,1,Churned
12653,Israel,2,919,2209.85,1104.93,2011-02-16,2011-07-14,148,2,Churned
12654,Germany,5,264,601.98,120.40,2011-02-17,2011-11-29,10,5,Active
12656,France,5,1723,4051.17,810.23,2011-04-20,2011-11-22,17,5,Active
12657,France,4,1044,1643.18,410.80,2011-09-22,2011-11-28,11,4,Active
12658,Germany,1,320,686.05,686.05,2011-11-21,2011-11-21,18,1,Active
12659,France,1,105,91.68,91.68,2011-11-10,2011-11-10,29,1,Active
12660,France,1,127,245.10,245.10,2011-11-28,2011-11-28,11,1,Active
12662,Germany,11,2058,3849.78,349.98,2010-12-01,2011-12-09,0,11,Active
12664,Finland,9,1203,4881.88,542.43,2011-01-21,2011-12-01,8,9,Active
12665,Germany,1,37,63.00,63.00,2011-01-19,2011-01-19,324,1,Churned
12667,Finland,1,395,620.13,620.13,2011-10-12,2011-10-12,58,1,Active
12668,Germany,4,1634,3807.15,951.79,2010-12-19,2011-11-28,11,4,Active
12669,France,3,1115,2744.03,914.68,2011-03-28,2011-07-12,150,3,Churned
12670,France,5,1397,2996.05,599.21,2011-04-21,2011-11-29,10,5,Active
12672,France,1,78,225.90,225.90,2011-01-14,2011-01-14,329,1,Churned
12673,Germany,2,351,610.52,305.26,2011-01-17,2011-12-04,5,2,Active
12674,France,4,1133,1970.60,492.65,2011-05-16,2011-11-01,38,4,Active
12676,Sweden,6,670,1331.39,221.90,2011-02-01,2011-11-15,24,6,Active
12678,France,12,10923,17628.46,1469.04,2010-12-21,2011-10-28,42,12,Active
12679,France,4,554,1113.02,278.26,2011-03-01,2011-10-12,58,4,Active
12680,France,4,443,862.81,215.70,2011-08-18,2011-12-09,0,4,Active
12681,France,22,7536,13787.54,626.71,2010-12-07,2011-11-25,14,22,Active
12682,France,31,5555,12279.82,396.12,2010-12-03,2011-12-06,3,31,Active
12683,France,15,4987,8476.57,565.10,2010-12-09,2011-12-05,4,15,Active
12684,France,7,1985,2283.63,326.23,2011-05-10,2011-12-02,7,7,Active
12685,France,6,1523,2863.08,477.18,2011-09-07,2011-11-11,28,6,Active
12686,France,1,107,89.14,89.14,2010-12-03,2010-12-03,371,1,Churned
12688,Israel,1,3028,4873.81,4873.81,2011-08-18,2011-08-18,113,1,At Risk
12689,France,2,628,1247.61,623.81,2011-08-04,2011-11-14,25,2,Active
12690,France,1,106,389.01,389.01,2011-05-18,2011-05-18,205,1,Churned
12691,France,6,394,1035.80,172.63,2010-12-17,2011-11-11,28,6,Active
12693,Germany,4,255,855.91,213.98,2011-01-24,2011-08-04,127,4,Churned
12694,France,2,509,869.67,434.84,2011-06-09,2011-09-30,70,2,At Risk
12695,France,4,220,582.10,145.53,2011-05-13,2011-12-02,7,4,Active
12697,Sweden,3,508,957.59,319.20,2011-06-23,2011-11-11,28,3,Active
12700,France,4,2967,4939.99,1235.00,2011-05-08,2011-12-02,7,4,Active
12701,Germany,2,678,797.71,398.86,2011-04-11,2011-09-21,79,2,At Risk
12702,Germany,1,53,219.00,219.00,2011-11-20,2011-11-20,19,1,Active
12703,Germany,1,164,283.55,283.55,2011-09-29,2011-09-29,71,1,At Risk
12704,Finland,8,1006,2340.84,292.61,2011-06-23,2011-12-02,7,8,Active
12705,Germany,9,3997,6868.29,763.14,2010-12-17,2011-11-24,15,9,Active
12707,France,1,256,603.42,603.42,2011-02-21,2011-02-21,291,1,Churned
12708,Germany,10,1307,2712.91,271.29,2010-12-06,2011-11-10,29,10,Active
12709,Germany,15,3912,9706.52,647.10,2010-12-08,2011-11-24,15,15,Active
12710,Germany,3,851,1149.02,383.01,2011-05-22,2011-09-04,96,3,At Risk
12712,Germany,13,1062,4396.13,338.16,2010-12-03,2011-11-11,28,13,Active
12713,Germany,1,508,848.55,848.55,2011-12-09,2011-12-09,0,1,Active
12714,France,5,3069,4708.86,941.77,2011-02-18,2011-11-30,9,5,Active
12715,Sweden,1,192,343.36,343.36,2011-08-25,2011-08-25,106,1,At Risk
12716,France,2,708,1053.49,526.75,2011-07-29,2011-12-06,3,2,Active
12717,Greece,2,506,1030.98,515.49,2011-04-08,2011-07-11,151,2,Churned
12718,France,1,203,238.25,238.25,2011-09-29,2011-09-29,71,1,At Risk
12719,France,2,374,644.95,322.48,2011-10-05,2011-12-04,5,2,Active
12720,Germany,25,4672,5781.73,231.27,2010-12-05,2011-12-07,2,25,Active
12721,France,6,1959,2656.13,442.69,2010-12-20,2011-11-08,31,6,Active
12722,France,4,566,997.63,249.41,2011-07-12,2011-09-15,85,4,At Risk
12723,France,5,434,725.07,145.01,2011-10-05,2011-12-06,3,5,Active
12724,France,4,445,1031.41,257.85,2011-01-11,2011-12-04,5,4,Active
12725,Italy,1,164,427.80,427.80,2010-12-03,2010-12-03,371,1,Churned
12726,France,7,3143,2609.10,372.73,2010-12-17,2011-11-11,28,7,Active
12727,France,7,2098,3980.70,568.67,2011-01-23,2011-11-29,10,7,Active
12728,France,4,419,836.33,209.08,2011-01-11,2011-09-29,71,4,At Risk
12729,France,1,233,453.01,453.01,2011-08-18,2011-08-18,113,1,At Risk
12731,France,12,8437,18895.91,1574.66,2010-12-10,2011-11-16,23,12,Active
12732,France,1,111,236.26,236.26,2011-06-13,2011-06-13,179,1,Churned
12733,USA,1,137,383.95,383.95,2011-04-19,2011-04-19,234,1,Churned
12734,France,1,88,110.40,110.40,2010-12-22,2010-12-22,352,1,Churned
12735,France,2,368,779.57,389.79,2011-01-06,2011-01-28,315,2,Churned
12736,France,1,173,234.00,234.00,2011-01-11,2011-01-11,332,1,Churned
12738,Germany,1,148,155.35,155.35,2010-12-02,2010-12-02,372,1,Churned
12739,United Arab Emirates,2,486,1013.04,506.52,2011-09-01,2011-09-22,78,2,At Risk
12740,France,1,342,427.60,427.60,2011-10-07,2011-10-07,63,1,At Risk
12743,Unspecified,2,315,540.13,270.07,2011-07-28,2011-07-28,134,2,Churned
12744,Singapore,7,5241,21279.29,3039.90,2011-01-25,2011-10-19,51,7,Active
12747,United Kingdom,11,1275,4196.01,381.46,2010-12-05,2011-12-07,2,11,Active
12748,United Kingdom,209,25287,33053.19,158.15,2010-12-01,2011-12-09,0,209,Active
12749,United Kingdom,5,1471,4090.88,818.18,2011-05-10,2011-12-06,3,5,Active
12750,Poland,1,137,275.88,275.88,2011-08-03,2011-08-03,128,1,Churned
12752,Norway,1,2262,4366.78,4366.78,2011-09-19,2011-09-19,81,1,At Risk
12753,Japan,6,11421,21429.39,3571.57,2010-12-12,2011-11-17,22,6,Active
12754,Japan,3,6481,3010.74,1003.58,2011-02-04,2011-04-18,235,3,Churned
12755,Japan,2,1491,3811.95,1905.98,2010-12-09,2011-03-04,280,2,Churned
12756,Japan,1,144,112.08,112.08,2011-09-14,2011-09-14,86,1,At Risk
12757,Portugal,13,2395,7834.65,602.67,2011-05-12,2011-11-24,15,13,Active
